lsoa11cd,index_domain,decile,rank,score,year
E01006123,Barriers to Housing and Services,10,"31,405",6.241,2019
E01006123,Crime,6,"18,129",-0.1,2019
E01006123,"Education, Skills and Training",9,"27,188",5.089,2019
E01006123,Employment,7,"20,566",0.063,2019
E01006123,Health Deprivation and Disability,6,"18,656",-0.168,2019
E01006123,Income,8,"24,603",0.056,2019
E01006123,Income Deprivation Affecting Children,9,"27,955",0.047,2019
E01006123,Income Deprivation Affecting Older People,9,"26,754",0.062,2019
E01006123,Index of Multiple Deprivation,8,"25,564",9.183,2019
E01006123,Living Environment,5,"14,745",20.713,2019
E01006124,Barriers to Housing and Services,9,"29,103",9.468,2019
E01006124,Crime,8,"23,992",-0.515,2019
E01006124,"Education, Skills and Training",10,"30,005",2.775,2019
E01006124,Employment,8,"24,225",0.051,2019
E01006124,Health Deprivation and Disability,8,"23,971",-0.542,2019
E01006124,Income,9,"29,077",0.038,2019
E01006124,Income Deprivation Affecting Children,10,"29,616",0.037,2019
E01006124,Income Deprivation Affecting Older People,10,"29,767",0.046,2019
E01006124,Index of Multiple Deprivation,10,"30,034",5.49,2019
E01006124,Living Environment,6,"18,926",15.335,2019
E01006125,Barriers to Housing and Services,8,"23,212",14.867,2019
E01006125,Crime,6,"17,033",-0.023,2019
E01006125,"Education, Skills and Training",7,"20,431",11.488,2019
E01006125,Employment,5,"14,098",0.091,2019
E01006125,Health Deprivation and Disability,5,"14,494",0.101,2019
E01006125,Income,6,"18,431",0.087,2019
E01006125,Income Deprivation Affecting Children,6,"17,535",0.116,2019
E01006125,Income Deprivation Affecting Older People,7,"19,824",0.102,2019
E01006125,Index of Multiple Deprivation,7,"19,817",14.127,2019
E01006125,Living Environment,7,"21,929",12.061,2019
E01006126,Barriers to Housing and Services,8,"25,924",12.57,2019
E01006126,Crime,4,"10,140",0.422,2019
E01006126,"Education, Skills and Training",3,"6,764",34.993,2019
E01006126,Employment,2,"5,868",0.158,2019
E01006126,Health Deprivation and Disability,2,"3,738",1.069,2019
E01006126,Income,2,"6,306",0.206,2019
E01006126,Income Deprivation Affecting Children,3,"7,058",0.247,2019
E01006126,Income Deprivation Affecting Older People,3,"7,949",0.232,2019
E01006126,Index of Multiple Deprivation,3,"7,261",31.56,2019
E01006126,Living Environment,8,"25,658",8.48,2019
E01006127,Barriers to Housing and Services,7,"20,086",17.271,2019
E01006127,Crime,8,"25,009",-0.593,2019
E01006127,"Education, Skills and Training",5,"16,180",16.524,2019
E01006127,Employment,5,"15,290",0.085,2019
E01006127,Health Deprivation and Disability,4,"12,780",0.22,2019
E01006127,Income,7,"20,354",0.076,2019
E01006127,Income Deprivation Affecting Children,7,"22,010",0.082,2019
E01006127,Income Deprivation Affecting Older People,7,"20,290",0.098,2019
E01006127,Index of Multiple Deprivation,7,"20,137",13.814,2019
E01006127,Living Environment,7,"21,803",12.189,2019
E01006128,Barriers to Housing and Services,10,"30,037",8.378,2019
E01006128,Crime,6,"19,518",-0.192,2019
E01006128,"Education, Skills and Training",9,"28,837",3.731,2019
E01006128,Employment,7,"21,671",0.059,2019
E01006128,Health Deprivation and Disability,5,"13,546",0.165,2019
E01006128,Income,7,"22,970",0.063,2019
E01006128,Income Deprivation Affecting Children,8,"26,134",0.057,2019
E01006128,Income Deprivation Affecting Older People,8,"25,304",0.07,2019
E01006128,Index of Multiple Deprivation,8,"24,394",10.094,2019
E01006128,Living Environment,5,"14,052",21.689,2019
E01006129,Barriers to Housing and Services,7,"20,701",16.786,2019
E01006129,Crime,5,"16,158",0.034,2019
E01006129,"Education, Skills and Training",7,"20,851",11.044,2019
E01006129,Employment,3,"7,880",0.136,2019
E01006129,Health Deprivation and Disability,3,"9,268",0.484,2019
E01006129,Income,5,"14,351",0.115,2019
E01006129,Income Deprivation Affecting Children,7,"20,770",0.09,2019
E01006129,Income Deprivation Affecting Older People,6,"16,513",0.127,2019
E01006129,Index of Multiple Deprivation,5,"14,198",20.165,2019
E01006129,Living Environment,6,"19,377",14.817,2019
E01006130,Barriers to Housing and Services,10,"30,889",7.14,2019
E01006130,Crime,9,"27,562",-0.826,2019
E01006130,"Education, Skills and Training",8,"26,032",6.135,2019
E01006130,Employment,7,"21,333",0.061,2019
E01006130,Health Deprivation and Disability,5,"14,610",0.094,2019
E01006130,Income,7,"21,865",0.068,2019
E01006130,Income Deprivation Affecting Children,9,"27,165",0.051,2019
E01006130,Income Deprivation Affecting Older People,5,"13,576",0.156,2019
E01006130,Index of Multiple Deprivation,8,"25,085",9.528,2019
E01006130,Living Environment,5,"15,457",19.781,2019
E01006131,Barriers to Housing and Services,10,"30,983",6.979,2019
E01006131,Crime,7,"22,460",-0.402,2019
E01006131,"Education, Skills and Training",9,"27,706",4.667,2019
E01006131,Employment,6,"18,979",0.069,2019
E01006131,Health Deprivation and Disability,7,"19,764",-0.243,2019
E01006131,Income,8,"24,444",0.057,2019
E01006131,Income Deprivation Affecting Children,8,"25,508",0.061,2019
E01006131,Income Deprivation Affecting Older People,8,"24,134",0.076,2019
E01006131,Index of Multiple Deprivation,8,"25,752",9.034,2019
E01006131,Living Environment,5,"14,296",21.347,2019
E01006132,Barriers to Housing and Services,10,"30,092",8.297,2019
E01006132,Crime,6,"19,043",-0.16,2019
E01006132,"Education, Skills and Training",7,"22,601",9.273,2019
E01006132,Employment,5,"14,569",0.089,2019
E01006132,Health Deprivation and Disability,5,"14,649",0.091,2019
E01006132,Income,6,"17,278",0.094,2019
E01006132,Income Deprivation Affecting Children,7,"21,526",0.085,2019
E01006132,Income Deprivation Affecting Older People,5,"13,490",0.156,2019
E01006132,Index of Multiple Deprivation,6,"19,504",14.442,2019
E01006132,Living Environment,4,"11,903",24.802,2019
E01006133,Barriers to Housing and Services,4,"12,946",23.234,2019
E01006133,Crime,10,"30,400",-1.188,2019
E01006133,"Education, Skills and Training",8,"26,160",6,2019
E01006133,Employment,6,"19,646",0.067,2019
E01006133,Health Deprivation and Disability,6,"19,563",-0.229,2019
E01006133,Income,8,"24,670",0.056,2019
E01006133,Income Deprivation Affecting Children,8,"25,085",0.063,2019
E01006133,Income Deprivation Affecting Older People,8,"23,935",0.077,2019
E01006133,Index of Multiple Deprivation,8,"24,512",10.013,2019
E01006133,Living Environment,5,"15,706",19.469,2019
E01006134,Barriers to Housing and Services,4,"12,761",23.399,2019
E01006134,Crime,8,"23,580",-0.486,2019
E01006134,"Education, Skills and Training",10,"32,394",0.65,2019
E01006134,Employment,10,"32,594",0.015,2019
E01006134,Health Deprivation and Disability,10,"31,161",-1.36,2019
E01006134,Income,10,"32,558",0.015,2019
E01006134,Income Deprivation Affecting Children,10,"32,365",0.014,2019
E01006134,Income Deprivation Affecting Older People,10,"32,575",0.022,2019
E01006134,Index of Multiple Deprivation,10,"32,085",3.224,2019
E01006134,Living Environment,9,"29,044",5.273,2019
E01006135,Barriers to Housing and Services,8,"26,070",12.446,2019
E01006135,Crime,6,"18,864",-0.148,2019
E01006135,"Education, Skills and Training",10,"31,806",1.183,2019
E01006135,Employment,9,"26,667",0.044,2019
E01006135,Health Deprivation and Disability,8,"25,367",-0.652,2019
E01006135,Income,10,"30,358",0.032,2019
E01006135,Income Deprivation Affecting Children,9,"28,452",0.044,2019
E01006135,Income Deprivation Affecting Older People,10,"32,104",0.029,2019
E01006135,Index of Multiple Deprivation,10,"31,230",4.29,2019
E01006135,Living Environment,9,"28,719",5.597,2019
E01006136,Barriers to Housing and Services,10,"31,382",6.282,2019
E01006136,Crime,6,"19,613",-0.2,2019
E01006136,"Education, Skills and Training",10,"31,789",1.2,2019
E01006136,Employment,9,"29,492",0.034,2019
E01006136,Health Deprivation and Disability,9,"29,463",-1.083,2019
E01006136,Income,9,"27,615",0.044,2019
E01006136,Income Deprivation Affecting Children,9,"29,531",0.037,2019
E01006136,Income Deprivation Affecting Older People,9,"28,273",0.054,2019
E01006136,Index of Multiple Deprivation,10,"31,745",3.701,2019
E01006136,Living Environment,8,"24,086",9.976,2019
E01006137,Barriers to Housing and Services,4,"11,818",24.3,2019
E01006137,Crime,8,"25,423",-0.63,2019
E01006137,"Education, Skills and Training",10,"32,234",0.802,2019
E01006137,Employment,10,"32,381",0.018,2019
E01006137,Health Deprivation and Disability,10,"30,169",-1.18,2019
E01006137,Income,10,"31,138",0.028,2019
E01006137,Income Deprivation Affecting Children,10,"32,184",0.017,2019
E01006137,Income Deprivation Affecting Older People,9,"28,639",0.053,2019
E01006137,Index of Multiple Deprivation,10,"31,956",3.426,2019
E01006137,Living Environment,10,"31,543",2.621,2019
E01006138,Barriers to Housing and Services,7,"20,312",17.102,2019
E01006138,Crime,4,"11,030",0.359,2019
E01006138,"Education, Skills and Training",10,"29,882",2.882,2019
E01006138,Employment,6,"16,992",0.077,2019
E01006138,Health Deprivation and Disability,6,"18,289",-0.144,2019
E01006138,Income,6,"16,727",0.097,2019
E01006138,Income Deprivation Affecting Children,6,"18,525",0.108,2019
E01006138,Income Deprivation Affecting Older People,6,"17,225",0.121,2019
E01006138,Index of Multiple Deprivation,7,"21,762",12.358,2019
E01006138,Living Environment,10,"29,674",4.657,2019
E01006139,Barriers to Housing and Services,9,"29,376",9.16,2019
E01006139,Crime,7,"21,986",-0.367,2019
E01006139,"Education, Skills and Training",10,"32,676",0.316,2019
E01006139,Employment,10,"32,287",0.019,2019
E01006139,Health Deprivation and Disability,10,"31,309",-1.392,2019
E01006139,Income,10,"31,229",0.028,2019
E01006139,Income Deprivation Affecting Children,10,"32,382",0.014,2019
E01006139,Income Deprivation Affecting Older People,8,"25,912",0.066,2019
E01006139,Index of Multiple Deprivation,10,"32,098",3.208,2019
E01006139,Living Environment,5,"15,173",20.142,2019
E01006140,Barriers to Housing and Services,5,"16,304",20.293,2019
E01006140,Crime,6,"18,316",-0.112,2019
E01006140,"Education, Skills and Training",10,"32,500",0.524,2019
E01006140,Employment,9,"27,131",0.043,2019
E01006140,Health Deprivation and Disability,8,"24,717",-0.6,2019
E01006140,Income,8,"25,645",0.052,2019
E01006140,Income Deprivation Affecting Children,9,"28,571",0.043,2019
E01006140,Income Deprivation Affecting Older People,7,"19,803",0.102,2019
E01006140,Index of Multiple Deprivation,9,"27,848",7.37,2019
E01006140,Living Environment,5,"15,815",19.286,2019
E01006141,Barriers to Housing and Services,6,"17,725",19.117,2019
E01006141,Crime,4,"12,663",0.254,2019
E01006141,"Education, Skills and Training",4,"12,717",21.733,2019
E01006141,Employment,3,"8,274",0.132,2019
E01006141,Health Deprivation and Disability,4,"11,719",0.294,2019
E01006141,Income,3,"9,676",0.159,2019
E01006141,Income Deprivation Affecting Children,4,"11,706",0.178,2019
E01006141,Income Deprivation Affecting Older People,4,"12,822",0.164,2019
E01006141,Index of Multiple Deprivation,4,"11,489",23.82,2019
E01006141,Living Environment,6,"16,784",18.034,2019
E01006142,Barriers to Housing and Services,4,"12,716",23.457,2019
E01006142,Crime,4,"11,130",0.352,2019
E01006142,"Education, Skills and Training",7,"22,729",9.128,2019
E01006142,Employment,4,"10,836",0.111,2019
E01006142,Health Deprivation and Disability,5,"15,879",0.008,2019
E01006142,Income,4,"10,065",0.155,2019
E01006142,Income Deprivation Affecting Children,4,"11,495",0.181,2019
E01006142,Income Deprivation Affecting Older People,4,"11,003",0.186,2019
E01006142,Index of Multiple Deprivation,5,"14,251",20.107,2019
E01006142,Living Environment,7,"20,980",13.07,2019
E01006143,Barriers to Housing and Services,4,"12,094",24.045,2019
E01006143,Crime,7,"20,563",-0.266,2019
E01006143,"Education, Skills and Training",10,"30,787",2.099,2019
E01006143,Employment,5,"15,580",0.083,2019
E01006143,Health Deprivation and Disability,7,"20,349",-0.28,2019
E01006143,Income,6,"19,141",0.082,2019
E01006143,Income Deprivation Affecting Children,9,"27,767",0.048,2019
E01006143,Income Deprivation Affecting Older People,7,"19,903",0.101,2019
E01006143,Index of Multiple Deprivation,6,"19,034",14.877,2019
E01006143,Living Environment,2,"5,730",36.2,2019
E01006144,Barriers to Housing and Services,3,"7,974",28.584,2019
E01006144,Crime,1,"1,561",1.345,2019
E01006144,"Education, Skills and Training",4,"9,874",26.895,2019
E01006144,Employment,1,"1,774",0.234,2019
E01006144,Health Deprivation and Disability,1,"1,687",1.443,2019
E01006144,Income,1,"2,172",0.301,2019
E01006144,Income Deprivation Affecting Children,2,"4,133",0.306,2019
E01006144,Income Deprivation Affecting Older People,1,"3,144",0.346,2019
E01006144,Index of Multiple Deprivation,1,"2,202",49.871,2019
E01006144,Living Environment,5,"16,311",18.648,2019
E01006145,Barriers to Housing and Services,6,"16,929",19.764,2019
E01006145,Crime,6,"18,874",-0.149,2019
E01006145,"Education, Skills and Training",3,"9,581",27.56,2019
E01006145,Employment,2,"4,979",0.17,2019
E01006145,Health Deprivation and Disability,3,"7,147",0.673,2019
E01006145,Income,2,"4,067",0.249,2019
E01006145,Income Deprivation Affecting Children,2,"6,527",0.257,2019
E01006145,Income Deprivation Affecting Older People,2,"4,640",0.301,2019
E01006145,Index of Multiple Deprivation,3,"7,340",31.414,2019
E01006145,Living Environment,7,"22,754",11.228,2019
E01006146,Barriers to Housing and Services,10,"31,136",6.712,2019
E01006146,Crime,4,"10,535",0.395,2019
E01006146,"Education, Skills and Training",8,"25,423",6.653,2019
E01006146,Employment,5,"14,083",0.091,2019
E01006146,Health Deprivation and Disability,6,"18,401",-0.15,2019
E01006146,Income,5,"14,335",0.115,2019
E01006146,Income Deprivation Affecting Children,7,"20,171",0.094,2019
E01006146,Income Deprivation Affecting Older People,4,"11,898",0.175,2019
E01006146,Index of Multiple Deprivation,6,"18,506",15.442,2019
E01006146,Living Environment,5,"13,230",22.854,2019
E01006147,Barriers to Housing and Services,10,"31,331",6.374,2019
E01006147,Crime,6,"17,657",-0.068,2019
E01006147,"Education, Skills and Training",10,"31,214",1.701,2019
E01006147,Employment,10,"30,387",0.031,2019
E01006147,Health Deprivation and Disability,7,"21,455",-0.35,2019
E01006147,Income,10,"30,419",0.032,2019
E01006147,Income Deprivation Affecting Children,10,"31,984",0.019,2019
E01006147,Income Deprivation Affecting Older People,8,"25,728",0.067,2019
E01006147,Index of Multiple Deprivation,10,"30,222",5.298,2019
E01006147,Living Environment,5,"14,964",20.415,2019
E01006148,Barriers to Housing and Services,8,"24,167",14.056,2019
E01006148,Crime,7,"19,973",-0.224,2019
E01006148,"Education, Skills and Training",10,"31,631",1.349,2019
E01006148,Employment,7,"20,271",0.064,2019
E01006148,Health Deprivation and Disability,7,"22,313",-0.414,2019
E01006148,Income,8,"25,383",0.053,2019
E01006148,Income Deprivation Affecting Children,9,"26,903",0.052,2019
E01006148,Income Deprivation Affecting Older People,9,"27,406",0.059,2019
E01006148,Index of Multiple Deprivation,8,"26,203",8.67,2019
E01006148,Living Environment,5,"13,194",22.915,2019
E01006149,Barriers to Housing and Services,9,"29,017",9.556,2019
E01006149,Crime,7,"21,915",-0.361,2019
E01006149,"Education, Skills and Training",10,"31,614",1.374,2019
E01006149,Employment,6,"16,949",0.077,2019
E01006149,Health Deprivation and Disability,6,"18,338",-0.146,2019
E01006149,Income,6,"17,955",0.09,2019
E01006149,Income Deprivation Affecting Children,10,"29,728",0.036,2019
E01006149,Income Deprivation Affecting Older People,4,"10,918",0.187,2019
E01006149,Index of Multiple Deprivation,7,"22,746",11.492,2019
E01006149,Living Environment,4,"12,318",24.155,2019
E01006150,Barriers to Housing and Services,9,"29,481",9.029,2019
E01006150,Crime,5,"16,172",0.033,2019
E01006150,"Education, Skills and Training",10,"31,092",1.808,2019
E01006150,Employment,7,"21,988",0.058,2019
E01006150,Health Deprivation and Disability,8,"23,810",-0.531,2019
E01006150,Income,8,"23,206",0.062,2019
E01006150,Income Deprivation Affecting Children,10,"30,513",0.031,2019
E01006150,Income Deprivation Affecting Older People,6,"18,060",0.114,2019
E01006150,Index of Multiple Deprivation,8,"25,475",9.243,2019
E01006150,Living Environment,3,"9,616",28.586,2019
E01006151,Barriers to Housing and Services,8,"23,706",14.457,2019
E01006151,Crime,7,"19,726",-0.207,2019
E01006151,"Education, Skills and Training",10,"31,469",1.485,2019
E01006151,Employment,10,"30,913",0.029,2019
E01006151,Health Deprivation and Disability,9,"28,581",-0.969,2019
E01006151,Income,10,"30,610",0.031,2019
E01006151,Income Deprivation Affecting Children,9,"28,760",0.042,2019
E01006151,Income Deprivation Affecting Older People,10,"32,130",0.028,2019
E01006151,Index of Multiple Deprivation,10,"31,006",4.508,2019
E01006151,Living Environment,5,"15,898",19.185,2019
E01006152,Barriers to Housing and Services,9,"29,232",9.315,2019
E01006152,Crime,6,"17,781",-0.076,2019
E01006152,"Education, Skills and Training",10,"31,022",1.882,2019
E01006152,Employment,10,"30,016",0.032,2019
E01006152,Health Deprivation and Disability,9,"27,477",-0.847,2019
E01006152,Income,10,"30,294",0.033,2019
E01006152,Income Deprivation Affecting Children,10,"30,189",0.033,2019
E01006152,Income Deprivation Affecting Older People,10,"30,817",0.04,2019
E01006152,Index of Multiple Deprivation,10,"32,028",3.317,2019
E01006152,Living Environment,10,"30,042",4.269,2019
E01006153,Barriers to Housing and Services,9,"29,213",9.337,2019
E01006153,Crime,7,"20,239",-0.243,2019
E01006153,"Education, Skills and Training",10,"30,439",2.379,2019
E01006153,Employment,9,"27,464",0.041,2019
E01006153,Health Deprivation and Disability,7,"22,651",-0.441,2019
E01006153,Income,8,"23,419",0.061,2019
E01006153,Income Deprivation Affecting Children,7,"20,081",0.095,2019
E01006153,Income Deprivation Affecting Older People,8,"24,073",0.076,2019
E01006153,Index of Multiple Deprivation,10,"29,826",5.685,2019
E01006153,Living Environment,9,"26,996",7.249,2019
E01006154,Barriers to Housing and Services,10,"30,125",8.258,2019
E01006154,Crime,7,"20,796",-0.283,2019
E01006154,"Education, Skills and Training",10,"31,823",1.169,2019
E01006154,Employment,8,"25,373",0.048,2019
E01006154,Health Deprivation and Disability,7,"22,377",-0.42,2019
E01006154,Income,9,"28,965",0.038,2019
E01006154,Income Deprivation Affecting Children,10,"31,726",0.022,2019
E01006154,Income Deprivation Affecting Older People,7,"19,939",0.101,2019
E01006154,Index of Multiple Deprivation,9,"27,526",7.617,2019
E01006154,Living Environment,3,"6,869",33.656,2019
E01006155,Barriers to Housing and Services,5,"13,876",22.375,2019
E01006155,Crime,7,"20,871",-0.288,2019
E01006155,"Education, Skills and Training",7,"22,411",9.46,2019
E01006155,Employment,7,"20,525",0.064,2019
E01006155,Health Deprivation and Disability,5,"13,514",0.167,2019
E01006155,Income,8,"25,320",0.053,2019
E01006155,Income Deprivation Affecting Children,9,"27,089",0.051,2019
E01006155,Income Deprivation Affecting Older People,7,"21,567",0.09,2019
E01006155,Index of Multiple Deprivation,7,"20,823",13.218,2019
E01006155,Living Environment,3,"8,269",30.971,2019
E01006156,Barriers to Housing and Services,9,"27,272",11.35,2019
E01006156,Crime,5,"15,463",0.077,2019
E01006156,"Education, Skills and Training",6,"17,795",14.449,2019
E01006156,Employment,3,"8,445",0.13,2019
E01006156,Health Deprivation and Disability,4,"12,546",0.238,2019
E01006156,Income,4,"12,392",0.131,2019
E01006156,Income Deprivation Affecting Children,5,"15,090",0.139,2019
E01006156,Income Deprivation Affecting Older People,6,"18,017",0.114,2019
E01006156,Index of Multiple Deprivation,5,"14,596",19.732,2019
E01006156,Living Environment,6,"18,638",15.742,2019
E01006157,Barriers to Housing and Services,7,"20,803",16.709,2019
E01006157,Crime,7,"21,660",-0.344,2019
E01006157,"Education, Skills and Training",5,"14,693",18.613,2019
E01006157,Employment,5,"15,612",0.083,2019
E01006157,Health Deprivation and Disability,6,"18,390",-0.15,2019
E01006157,Income,6,"18,618",0.086,2019
E01006157,Income Deprivation Affecting Children,6,"17,619",0.115,2019
E01006157,Income Deprivation Affecting Older People,7,"22,405",0.085,2019
E01006157,Index of Multiple Deprivation,6,"18,061",15.873,2019
E01006157,Living Environment,3,"7,184",33.034,2019
E01006158,Barriers to Housing and Services,9,"28,031",10.611,2019
E01006158,Crime,6,"16,693",-0.001,2019
E01006158,"Education, Skills and Training",4,"9,947",26.739,2019
E01006158,Employment,2,"5,645",0.161,2019
E01006158,Health Deprivation and Disability,2,"4,767",0.933,2019
E01006158,Income,3,"7,583",0.186,2019
E01006158,Income Deprivation Affecting Children,3,"8,350",0.226,2019
E01006158,Income Deprivation Affecting Older People,3,"9,031",0.214,2019
E01006158,Index of Multiple Deprivation,3,"8,525",28.937,2019
E01006158,Living Environment,5,"15,110",20.225,2019
E01006159,Barriers to Housing and Services,7,"22,887",15.088,2019
E01006159,Crime,4,"12,854",0.241,2019
E01006159,"Education, Skills and Training",3,"8,219",30.896,2019
E01006159,Employment,2,"6,230",0.154,2019
E01006159,Health Deprivation and Disability,2,"5,851",0.806,2019
E01006159,Income,2,"6,485",0.203,2019
E01006159,Income Deprivation Affecting Children,3,"7,534",0.239,2019
E01006159,Income Deprivation Affecting Older People,3,"7,424",0.241,2019
E01006159,Index of Multiple Deprivation,3,"7,977",30.113,2019
E01006159,Living Environment,5,"15,535",19.676,2019
E01006160,Barriers to Housing and Services,7,"21,963",15.785,2019
E01006160,Crime,3,"8,693",0.528,2019
E01006160,"Education, Skills and Training",9,"29,390",3.289,2019
E01006160,Employment,4,"12,208",0.102,2019
E01006160,Health Deprivation and Disability,3,"7,094",0.677,2019
E01006160,Income,4,"12,149",0.134,2019
E01006160,Income Deprivation Affecting Children,8,"24,800",0.065,2019
E01006160,Income Deprivation Affecting Older People,2,"3,982",0.318,2019
E01006160,Index of Multiple Deprivation,5,"13,412",21.185,2019
E01006160,Living Environment,3,"9,584",28.659,2019
E01006161,Barriers to Housing and Services,6,"18,200",18.727,2019
E01006161,Crime,4,"12,542",0.261,2019
E01006161,"Education, Skills and Training",10,"32,106",0.926,2019
E01006161,Employment,9,"29,146",0.036,2019
E01006161,Health Deprivation and Disability,8,"26,131",-0.721,2019
E01006161,Income,9,"26,901",0.047,2019
E01006161,Income Deprivation Affecting Children,9,"27,155",0.051,2019
E01006161,Income Deprivation Affecting Older People,8,"23,922",0.077,2019
E01006161,Index of Multiple Deprivation,8,"25,626",9.123,2019
E01006161,Living Environment,2,"6,141",35.208,2019
E01006162,Barriers to Housing and Services,8,"23,628",14.533,2019
E01006162,Crime,9,"26,515",-0.725,2019
E01006162,"Education, Skills and Training",10,"32,573",0.444,2019
E01006162,Employment,9,"29,401",0.035,2019
E01006162,Health Deprivation and Disability,9,"27,752",-0.875,2019
E01006162,Income,9,"28,901",0.039,2019
E01006162,Income Deprivation Affecting Children,10,"30,963",0.028,2019
E01006162,Income Deprivation Affecting Older People,8,"23,338",0.08,2019
E01006162,Index of Multiple Deprivation,9,"28,473",6.877,2019
E01006162,Living Environment,2,"4,767",38.574,2019
E01006163,Barriers to Housing and Services,9,"26,288",12.25,2019
E01006163,Crime,7,"22,207",-0.382,2019
E01006163,"Education, Skills and Training",10,"31,792",1.196,2019
E01006163,Employment,9,"29,409",0.035,2019
E01006163,Health Deprivation and Disability,9,"28,101",-0.915,2019
E01006163,Income,9,"28,481",0.041,2019
E01006163,Income Deprivation Affecting Children,8,"25,941",0.058,2019
E01006163,Income Deprivation Affecting Older People,8,"24,759",0.072,2019
E01006163,Index of Multiple Deprivation,9,"28,716",6.653,2019
E01006163,Living Environment,2,"6,077",35.348,2019
E01006164,Barriers to Housing and Services,6,"18,330",18.625,2019
E01006164,Crime,2,"5,900",0.753,2019
E01006164,"Education, Skills and Training",10,"30,420",2.394,2019
E01006164,Employment,8,"24,541",0.051,2019
E01006164,Health Deprivation and Disability,8,"23,965",-0.542,2019
E01006164,Income,8,"23,965",0.059,2019
E01006164,Income Deprivation Affecting Children,9,"28,542",0.043,2019
E01006164,Income Deprivation Affecting Older People,7,"20,888",0.094,2019
E01006164,Index of Multiple Deprivation,8,"23,848",10.536,2019
E01006164,Living Environment,5,"16,316",18.645,2019
E01006165,Barriers to Housing and Services,7,"22,893",15.084,2019
E01006165,Crime,8,"23,227",-0.46,2019
E01006165,"Education, Skills and Training",9,"27,322",4.98,2019
E01006165,Employment,7,"21,283",0.061,2019
E01006165,Health Deprivation and Disability,5,"16,411",-0.026,2019
E01006165,Income,6,"18,631",0.085,2019
E01006165,Income Deprivation Affecting Children,6,"19,689",0.098,2019
E01006165,Income Deprivation Affecting Older People,4,"10,408",0.194,2019
E01006165,Index of Multiple Deprivation,7,"20,959",13.092,2019
E01006165,Living Environment,2,"5,120",37.621,2019
E01006166,Barriers to Housing and Services,10,"30,113",8.275,2019
E01006166,Crime,5,"13,579",0.196,2019
E01006166,"Education, Skills and Training",5,"15,846",16.956,2019
E01006166,Employment,4,"11,662",0.106,2019
E01006166,Health Deprivation and Disability,4,"11,608",0.301,2019
E01006166,Income,5,"13,711",0.12,2019
E01006166,Income Deprivation Affecting Children,5,"13,671",0.154,2019
E01006166,Income Deprivation Affecting Older People,5,"13,268",0.159,2019
E01006166,Index of Multiple Deprivation,6,"16,767",17.253,2019
E01006166,Living Environment,10,"30,242",4.06,2019
E01006167,Barriers to Housing and Services,4,"10,690",25.461,2019
E01006167,Crime,3,"7,879",0.589,2019
E01006167,"Education, Skills and Training",3,"8,528",30.068,2019
E01006167,Employment,1,"1,541",0.242,2019
E01006167,Health Deprivation and Disability,1,"1,622",1.462,2019
E01006167,Income,1,"3,133",0.273,2019
E01006167,Income Deprivation Affecting Children,2,"5,718",0.272,2019
E01006167,Income Deprivation Affecting Older People,2,"3,635",0.329,2019
E01006167,Index of Multiple Deprivation,1,"3,203",44.32,2019
E01006167,Living Environment,10,"31,450",2.726,2019
E01006168,Barriers to Housing and Services,2,"4,231",34.68,2019
E01006168,Crime,3,"7,235",0.637,2019
E01006168,"Education, Skills and Training",2,"5,574",39.251,2019
E01006168,Employment,1,"1,238",0.252,2019
E01006168,Health Deprivation and Disability,1,"1,503",1.492,2019
E01006168,Income,1,"1,224",0.339,2019
E01006168,Income Deprivation Affecting Children,1,"1,899",0.378,2019
E01006168,Income Deprivation Affecting Older People,1,"2,390",0.376,2019
E01006168,Index of Multiple Deprivation,1,"1,782",52.615,2019
E01006168,Living Environment,10,"31,493",2.676,2019
E01006169,Barriers to Housing and Services,10,"31,204",6.596,2019
E01006169,Crime,6,"19,204",-0.17,2019
E01006169,"Education, Skills and Training",8,"23,685",8.251,2019
E01006169,Employment,5,"15,018",0.086,2019
E01006169,Health Deprivation and Disability,6,"16,444",-0.029,2019
E01006169,Income,6,"17,849",0.09,2019
E01006169,Income Deprivation Affecting Children,7,"20,839",0.09,2019
E01006169,Income Deprivation Affecting Older People,6,"18,180",0.113,2019
E01006169,Index of Multiple Deprivation,7,"21,810",12.318,2019
E01006169,Living Environment,7,"21,401",12.613,2019
E01006170,Barriers to Housing and Services,10,"31,869",5.363,2019
E01006170,Crime,4,"10,439",0.4,2019
E01006170,"Education, Skills and Training",9,"27,728",4.649,2019
E01006170,Employment,8,"23,627",0.053,2019
E01006170,Health Deprivation and Disability,6,"17,868",-0.118,2019
E01006170,Income,6,"18,391",0.087,2019
E01006170,Income Deprivation Affecting Children,7,"20,451",0.092,2019
E01006170,Income Deprivation Affecting Older People,5,"15,612",0.135,2019
E01006170,Index of Multiple Deprivation,8,"23,152",11.16,2019
E01006170,Living Environment,5,"14,604",20.939,2019
E01006171,Barriers to Housing and Services,9,"27,127",11.497,2019
E01006171,Crime,6,"16,823",-0.009,2019
E01006171,"Education, Skills and Training",3,"9,808",27.028,2019
E01006171,Employment,2,"5,528",0.163,2019
E01006171,Health Deprivation and Disability,2,"4,527",0.962,2019
E01006171,Income,3,"6,770",0.198,2019
E01006171,Income Deprivation Affecting Children,4,"10,765",0.19,2019
E01006171,Income Deprivation Affecting Older People,2,"6,534",0.258,2019
E01006171,Index of Multiple Deprivation,3,"8,126",29.784,2019
E01006171,Living Environment,5,"15,469",19.763,2019
